min_row,min_col,max_row,max_col,pos_x,pos_y,neg_x,neg_y
218,220,241,242,226,225,220,218
138,139,149,158,152,142,139,138
102,194,129,208,197,120,194,103
92,124,106,138,128,98,124,92
90,51,109,72,64,97,51,90
82,106,90,113,110,85,106,82
77,91,84,103,95,80,91,77
76,80,88,89,85,81,80,77
74,235,94,247,242,82,235,75
72,221,100,235,229,90,221,72
67,202,88,215,209,83,202,68
62,178,74,202,184,69,178,63
60,151,66,160,155,62,151,60
41,97,63,109,101,47,97,42
40,211,58,228,218,52,211,40
39,148,48,156,151,42,148,41
38,5,44,14,10,42,5,39
30,152,39,164,157,34,152,31
28,220,40,237,228,33,220,29
19,206,34,221,214,25,206,19
16,2,37,17,8,29,2,16
12,223,23,240,232,16,223,12
12,161,18,168,164,15,161,13
11,171,19,182,177,15,171,20
6,117,25,134,122,17,117,6
5,205,13,212,208,9,205,5
1,177,16,197,191,7,177,2
1,169,6,174,171,3,172,1
