min_row,min_col,max_row,max_col,pos_x,pos_y,neg_x,neg_y
220,7,236,19,12,229,7,220
217,145,232,168,154,224,145,217
215,26,232,41,33,222,26,215
212,110,227,122,116,218,110,213
205,219,232,235,225,221,219,207
191,209,211,224,216,199,209,198
191,1,195,9,6,193,1,192
184,208,192,218,213,189,208,185
177,218,184,226,223,180,218,177
174,119,186,138,129,180,119,174
173,11,187,25,17,182,11,173
172,227,185,243,235,176,227,172
159,70,176,84,79,168,70,160
155,18,168,38,25,161,18,155
154,3,167,17,9,159,3,155
143,83,156,106,89,151,83,144
141,189,156,201,196,148,189,142
138,228,151,252,241,143,228,139
137,22,144,29,25,139,22,137
127,98,138,111,103,133,98,127
121,231,136,254,248,127,231,122
115,149,128,161,155,121,149,118
114,112,133,132,118,127,112,115
107,76,121,91,85,114,76,107
98,21,108,29,25,103,21,98
95,102,109,116,110,103,102,96
89,200,103,216,208,96,200,89
84,127,100,146,136,92,127,85
81,83,85,90,87,82,83,82
73,213,94,234,223,82,213,74
73,90,89,112,104,79,90,74
71,52,89,75,57,75,52,72
62,72,77,85,79,70,72,62
59,141,68,151,145,63,141,60
57,112,68,136,126,63,112,58
55,233,72,246,241,61,233,55
54,150,69,167,161,59,150,55
51,215,62,228,223,57,215,52
51,32,59,39,36,53,32,53
50,185,68,211,192,54,185,51
35,213,50,230,220,43,213,35
33,138,45,157,144,37,138,34
30,185,42,195,189,34,185,31
23,159,48,177,165,42,159,23
22,10,39,27,17,32,10,22
20,197,40,209,203,30,197,20
18,104,37,124,114,26,104,18
17,153,22,161,156,19,153,18
8,71,17,81,74,13,71,9
5,214,27,233,227,23,214,6
4,242,10,253,248,8,242,5
3,183,11,190,186,5,183,4
3,96,11,106,102,7,96,3
1,81,7,86,84,4,81,5
1,41,32,68,45,24,41,1
