min_row,min_col,max_row,max_col,pos_x,pos_y,neg_x,neg_y
246,205,255,215,208,250,205,247
244,225,255,234,232,253,225,244
244,48,249,54,51,247,48,247
243,217,247,221,218,245,217,243
240,153,247,162,158,243,153,241
239,1,255,27,21,249,1,240
237,33,250,45,36,242,33,237
234,134,252,152,138,242,134,235
233,245,244,254,251,240,245,234
233,220,238,229,223,235,220,235
233,79,242,88,84,237,79,234
231,208,239,216,211,234,208,231
226,252,230,256,253,227,252,228
225,140,232,146,143,228,140,225
222,104,235,118,113,227,104,222
220,185,230,205,194,225,185,221
216,244,226,254,251,218,244,216
213,210,229,233,227,222,210,214
210,76,223,98,89,216,76,214
210,32,228,48,41,216,32,210
203,136,211,143,139,207,136,203
198,97,211,131,107,203,97,199
191,44,199,53,48,193,44,197
169,167,178,178,170,175,167,170
168,182,191,199,187,171,182,169
168,49,188,64,53,177,49,169
159,53,167,59,55,161,53,160
158,194,167,201,198,161,194,159
157,162,167,178,169,160,162,157
151,228,164,241,234,158,228,151
144,235,163,255,242,148,235,145
142,5,151,11,7,146,5,143
137,223,144,233,228,141,223,137
133,160,148,170,163,142,160,134
124,172,143,188,176,132,172,125
120,49,135,59,54,122,49,120
117,211,125,220,215,121,211,117
110,231,127,251,246,115,231,111
108,61,123,79,70,114,61,108
108,27,132,48,39,119,27,108
107,10,116,25,20,111,10,108
106,89,122,101,93,113,89,106
98,67,106,74,71,101,67,99
90,172,102,189,176,97,172,90
90,150,106,171,159,100,150,91
83,113,94,126,117,90,113,84
71,70,83,80,74,77,70,79
66,196,82,214,206,78,196,66
63,236,80,255,240,72,236,64
61,188,73,198,190,65,188,63
61,57,70,65,60,64,57,67
53,65,68,78,69,58,65,54
37,99,61,112,107,42,99,38
34,141,40,146,143,37,141,35
27,151,45,167,155,37,151,28
15,249,23,255,251,18,249,16
11,88,28,104,95,19,88,13
5,167,18,178,173,12,167,5
2,206,9,214,210,5,206,2
