min_row,min_col,max_row,max_col,pos_x,pos_y,neg_x,neg_y
246,38,255,53,49,250,38,246
228,218,246,240,225,235,218,229
224,49,246,66,57,233,49,224
224,1,232,7,4,228,1,225
221,246,231,252,250,224,246,221
220,166,234,186,177,227,166,220
217,131,228,140,134,221,131,222
210,18,228,58,26,219,18,210
205,96,215,107,102,209,96,207
204,127,216,138,132,210,127,204
192,161,210,179,174,195,161,192
190,212,210,230,221,205,212,191
188,92,204,112,104,195,92,189
188,52,204,63,57,199,52,189
183,176,191,185,179,187,176,184
179,237,196,250,245,183,237,180
168,9,174,16,13,170,9,169
162,120,176,135,128,171,120,163
156,22,162,29,24,158,22,157
150,154,167,174,168,161,154,152
147,107,170,127,117,154,107,147
140,91,158,107,102,146,91,141
129,136,137,151,146,134,136,129
120,178,146,197,189,132,178,121
120,110,133,135,123,124,110,121
116,137,128,151,142,118,137,116
108,17,125,35,26,119,17,109
106,69,122,86,74,111,69,106
103,35,109,43,38,103,35,109
100,136,116,148,138,112,136,101
85,121,100,136,130,95,121,86
82,156,86,161,158,83,156,84
79,162,91,179,167,87,162,80
78,137,96,155,148,89,137,79
77,116,86,125,120,79,116,78
74,30,87,41,32,82,30,75
69,55,75,62,57,72,55,70
53,118,66,131,123,59,118,54
51,172,73,184,180,53,172,51
45,3,63,18,8,51,3,45
40,150,67,165,154,52,150,41
35,241,46,248,244,38,241,36
35,225,58,237,231,45,225,35
27,9,37,25,16,30,9,28
26,202,49,216,205,31,202,26
22,95,43,111,98,25,95,28
21,47,39,63,55,26,47,22
9,70,31,87,81,18,70,9
7,103,21,124,109,17,103,7
2,190,5,195,192,3,190,5
1,154,19,165,158,5,154,1
