min_row,min_col,max_row,max_col,pos_x,pos_y,neg_x,neg_y
238,223,255,245,241,249,223,238
236,175,246,187,178,243,175,239
234,235,240,241,238,236,235,234
232,140,254,154,147,244,140,233
228,217,237,224,219,231,217,231
225,121,240,137,127,231,121,225
225,25,245,44,32,233,25,225
223,192,228,197,194,225,192,227
222,197,235,208,200,227,197,222
213,105,219,112,109,215,105,216
206,161,237,192,165,215,161,206
203,106,209,113,109,206,106,203
189,82,200,91,85,193,82,189
182,240,193,253,243,188,240,182
170,15,185,32,24,175,15,171
169,126,187,146,134,184,126,169
161,101,177,120,104,167,101,162
144,183,158,196,188,152,183,144
136,122,152,139,130,140,122,136
114,196,126,209,200,117,196,114
102,207,123,225,218,115,207,102
85,169,91,176,172,88,169,86
85,62,100,80,67,90,62,86
82,178,99,195,181,86,178,88
82,123,93,148,138,87,123,82
81,112,93,122,116,88,112,81
80,164,85,171,167,82,164,80
74,146,87,162,157,79,146,75
56,138,63,146,142,59,138,57
48,208,63,219,214,53,208,48
47,245,52,249,246,48,247,47
37,112,58,129,119,47,112,37
28,156,50,174,161,38,156,28
22,72,28,80,75,24,72,23
19,82,38,105,99,34,82,19
11,208,30,226,216,20,208,11
5,160,16,174,169,10,160,8
1,135,9,146,141,4,135,3
