min_row,min_col,max_row,max_col,pos_x,pos_y,neg_x,neg_y
247,234,255,241,235,249,234,250
240,182,251,196,191,246,182,241
231,205,244,212,208,239,205,232
231,153,248,171,161,242,153,232
210,137,226,147,141,222,137,213
207,166,218,183,176,212,166,207
200,241,214,255,247,207,241,200
189,227,209,243,233,202,227,190
169,230,177,239,235,172,230,170
164,180,179,194,186,174,180,164
159,148,171,172,165,162,148,161
138,225,150,235,229,144,225,138
136,179,144,193,188,139,179,136
126,232,139,249,241,129,232,126
107,201,123,224,209,116,201,107
104,150,119,165,158,112,150,104
101,175,109,187,179,106,175,101
100,186,115,199,193,107,186,101
79,243,92,254,250,88,243,79
53,166,67,182,170,56,166,53
50,190,65,203,197,59,190,50
49,203,55,214,205,52,203,49
37,242,44,251,247,41,242,37
24,159,40,176,171,27,159,24
19,234,38,251,244,31,234,19
12,220,21,229,224,15,220,13
