min_row,min_col,max_row,max_col,pos_x,pos_y,neg_x,neg_y
250,96,255,103,98,252,96,255
247,194,255,205,201,250,194,248
240,223,255,236,230,245,223,241
232,104,242,121,112,236,104,233
230,132,239,144,136,235,132,230
227,46,236,57,50,231,46,228
225,213,234,224,217,231,213,225
219,199,231,213,204,226,199,221
215,58,238,77,69,232,58,215
213,131,231,150,136,219,131,213
211,19,235,32,24,215,19,211
206,209,222,225,217,213,209,206
195,141,200,147,143,197,141,195
191,64,198,71,66,193,64,192
187,87,200,99,93,192,87,187
186,145,197,156,152,192,145,186
183,192,193,201,197,189,192,183
167,234,183,246,240,174,234,169
162,16,180,34,23,173,16,166
158,95,171,107,100,165,95,159
145,56,161,72,60,153,56,146
143,177,156,189,182,150,177,143
141,212,149,222,218,145,212,142
139,19,156,34,23,152,19,140
138,11,142,19,17,139,11,139
135,2,140,8,5,136,2,135
134,222,148,243,236,141,222,134
133,141,147,155,150,142,141,134
130,16,138,25,18,132,16,134
124,234,133,242,239,127,234,124
122,88,133,102,93,127,88,123
120,170,137,189,176,125,170,121
115,221,124,228,224,117,221,115
114,118,125,129,125,118,118,114
108,10,121,33,23,112,10,108
104,200,116,213,208,110,200,106
101,147,120,162,158,107,147,102
94,121,104,131,126,100,121,95
93,187,105,204,192,99,187,94
80,178,85,185,180,81,178,86
70,120,92,135,123,87,120,70
65,185,83,210,205,67,185,66
64,210,76,216,213,73,210,65
62,22,84,41,31,75,22,62
61,170,73,180,173,66,170,63
61,138,82,161,155,70,138,71
56,128,66,149,140,60,128,56
53,192,60,200,196,55,192,54
40,228,49,236,230,45,228,40
37,34,55,46,41,46,34,37
29,239,42,253,244,38,239,29
20,175,34,197,184,27,175,21
13,154,35,170,158,16,154,14
2,217,7,226,223,5,217,2
