min_row,min_col,max_row,max_col,pos_x,pos_y,neg_x,neg_y
225,80,235,88,83,230,80,225
219,125,247,152,128,243,125,220
217,76,225,93,83,220,76,217
206,48,217,58,52,210,48,207
204,60,222,74,68,212,60,204
185,175,203,197,183,196,175,185
157,7,170,17,11,162,7,157
149,32,162,42,36,156,32,150
137,84,151,100,93,144,84,137
127,4,142,25,13,135,4,127
124,24,143,44,27,130,24,124
120,153,136,171,159,125,153,120
88,81,97,103,94,93,81,89
81,13,100,23,17,93,13,82
66,7,81,23,13,74,7,68
65,67,86,80,73,80,67,65
50,227,65,246,236,55,227,50
34,115,54,133,122,49,115,35
27,3,44,21,10,35,3,33
26,22,32,30,25,28,22,27
10,34,21,45,40,13,34,10
10,1,18,9,4,14,1,10
2,233,11,243,237,6,233,2
2,8,27,20,13,8,8,3
1,53,23,70,58,17,53,1
