min_row,min_col,max_row,max_col,pos_x,pos_y,neg_x,neg_y
233,160,240,168,163,236,160,235
225,24,235,33,28,228,24,225
210,34,228,52,43,216,34,210
203,96,219,114,102,213,96,204
190,40,203,54,50,199,40,192
180,117,201,132,124,197,117,181
163,41,179,57,49,172,41,164
160,26,170,36,30,165,26,160
156,148,166,163,159,161,148,156
139,156,152,165,162,145,156,139
134,69,147,83,76,141,69,135
130,14,144,38,29,136,14,131
122,94,133,105,98,129,94,125
101,77,120,89,81,109,77,103
77,74,101,94,89,85,74,78
72,134,79,140,135,74,134,72
69,238,78,248,244,73,238,70
56,77,69,89,84,61,77,56
46,167,61,178,174,54,167,46
33,112,42,120,115,37,112,36
29,59,38,71,63,32,59,30
24,5,37,26,12,29,5,24
1,87,16,104,98,4,87,2
