min_row,min_col,max_row,max_col,pos_x,pos_y,neg_x,neg_y
252,149,255,153,150,253,149,255
243,27,255,44,34,250,27,244
239,144,249,151,147,245,144,239
232,40,241,49,46,236,40,232
228,31,238,39,35,232,32,235
226,174,248,186,178,243,174,227
221,1,230,7,3,225,1,222
215,156,229,172,161,220,156,216
213,79,224,87,83,217,79,214
207,126,228,139,131,214,126,208
204,15,221,32,19,216,15,205
196,143,215,159,151,207,143,197
187,157,198,168,164,193,157,187
181,22,204,44,30,194,22,182
179,94,198,109,103,187,94,179
177,219,186,233,226,182,219,178
172,24,182,31,26,176,24,172
164,172,181,191,180,172,172,164
164,109,172,119,113,167,109,164
139,95,147,103,98,143,95,140
135,131,151,147,138,145,131,136
130,172,143,182,176,134,172,131
130,77,149,94,84,136,77,131
123,143,129,148,144,126,143,124
108,124,116,129,125,111,124,108
105,130,124,155,139,113,130,106
96,238,104,252,245,101,238,96
94,184,114,199,193,107,184,95
89,163,99,173,168,94,163,90
82,78,95,93,89,91,78,82
79,113,106,130,117,85,113,79
65,44,83,56,52,75,44,66
59,84,79,97,90,67,84,59
38,234,48,252,245,44,234,38
38,146,62,160,157,50,146,38
38,73,52,89,81,46,73,39
36,1,46,6,2,38,1,36
35,217,46,229,223,39,217,36
27,169,45,183,175,36,169,28
21,202,35,225,215,27,202,21
15,119,30,128,122,21,119,15
3,63,20,79,71,14,63,3
2,175,24,194,188,16,175,2
2,32,22,46,38,8,32,3
