min_row,min_col,max_row,max_col,pos_x,pos_y,neg_x,neg_y
252,191,255,197,194,253,191,256
241,197,249,203,200,244,197,242
237,210,254,228,220,247,210,239
232,74,250,90,79,244,74,233
223,227,239,251,235,227,227,224
222,198,242,212,202,231,198,223
221,24,242,41,34,230,24,222
214,73,228,87,77,221,73,215
202,240,216,252,245,209,240,203
200,176,219,193,182,209,176,201
196,4,216,21,13,200,4,196
188,80,197,87,83,192,80,192
181,19,189,27,22,186,19,181
179,66,205,79,70,199,66,180
178,112,197,128,119,190,112,179
177,88,186,97,91,181,88,177
161,203,176,223,215,168,203,161
154,237,160,246,240,156,237,161
154,119,168,138,131,161,119,155
153,12,171,27,24,155,12,154
137,98,162,109,101,145,98,137
133,58,142,68,64,135,58,136
126,225,148,249,232,142,225,126
125,118,139,140,125,131,118,125
122,61,129,68,63,126,61,123
116,103,133,111,106,128,103,117
116,36,126,60,39,119,36,116
114,13,136,31,22,121,13,115
107,78,129,97,87,114,78,108
97,28,113,43,37,100,28,98
93,12,111,29,22,101,12,93
90,77,108,99,94,98,77,94
88,2,102,12,7,92,2,88
85,31,92,43,38,87,31,86
82,204,98,223,215,88,204,82
77,75,99,91,90,95,75,77
76,47,89,69,55,81,47,77
67,185,77,194,189,71,185,67
66,197,80,216,206,72,197,66
63,19,80,33,26,69,19,63
62,159,72,186,164,66,159,62
59,225,73,235,229,66,225,60
57,103,83,119,111,78,103,58
52,89,62,101,93,57,89,52
52,47,69,70,51,61,47,53
48,36,58,45,40,52,36,49
47,74,71,86,79,60,74,48
38,1,57,28,22,42,1,39
32,74,38,82,78,33,74,32
31,185,56,200,193,37,185,31
27,228,52,245,238,40,228,28
26,89,40,99,94,29,89,27
22,122,41,138,127,26,122,22
21,141,34,153,149,30,141,23
19,216,28,224,221,23,216,19
15,176,29,194,188,22,176,15
12,53,30,72,68,20,53,12
8,223,21,232,227,14,223,8
8,178,15,185,180,10,178,8
6,190,13,198,193,9,190,7
4,66,13,78,71,9,66,6
2,1,16,16,7,7,1,2
1,31,14,44,38,9,31,2
