min_row,min_col,max_row,max_col,pos_x,pos_y,neg_x,neg_y
246,37,252,43,41,247,37,247
235,85,251,101,90,242,85,236
232,227,239,235,231,235,227,232
232,1,251,19,12,237,1,232
223,47,238,70,61,227,47,224
213,74,229,89,81,223,74,214
189,42,207,55,48,201,42,189
169,38,176,44,41,172,38,170
164,198,176,210,204,171,198,170
164,65,168,70,67,165,65,168
156,123,172,134,129,160,123,158
149,112,159,125,115,152,112,150
148,41,175,64,47,154,41,149
137,196,147,203,200,144,196,137
137,61,151,71,65,143,61,138
133,80,147,103,94,140,80,134
132,45,144,61,50,139,45,133
125,230,132,245,233,129,230,125
125,7,139,21,16,136,7,125
124,246,129,253,250,126,246,124
118,43,128,52,46,123,43,118
116,229,122,234,232,118,229,116
113,193,124,209,199,117,193,113
103,216,114,225,219,110,216,105
101,245,113,253,248,107,245,102
99,104,114,120,112,109,104,99
86,6,104,14,9,96,6,90
80,190,98,211,196,92,190,81
77,230,98,251,235,88,230,78
75,9,80,13,10,76,9,78
70,185,82,194,190,74,185,70
69,35,82,44,38,77,35,69
65,177,71,184,181,67,177,66
65,139,96,150,145,88,139,65
61,162,69,176,167,65,162,67
54,5,67,12,8,63,5,54
40,224,55,239,234,45,224,41
25,188,34,197,193,29,188,25
23,163,29,172,167,25,163,23
11,59,21,78,62,15,59,12
1,244,10,255,250,4,244,2
