min_row,min_col,max_row,max_col,pos_x,pos_y,neg_x,neg_y
191,32,201,43,35,196,32,191
180,237,188,250,244,183,237,180
172,84,190,103,91,181,84,173
157,44,175,59,55,160,44,158
154,92,164,101,97,159,92,155
153,164,172,176,168,166,164,157
136,61,150,74,64,145,61,137
91,209,102,227,222,96,209,92
69,241,83,251,246,73,241,69
69,89,78,104,96,74,89,70
56,186,66,199,192,61,186,57
50,147,62,160,151,55,147,50
48,201,65,215,211,57,201,49
38,20,49,31,26,43,20,41
21,147,34,160,152,29,147,22
12,199,20,206,201,16,199,12
1,198,7,204,200,3,198,5
