min_row,min_col,max_row,max_col,pos_x,pos_y,neg_x,neg_y
251,51,255,55,53,252,51,254
250,9,254,13,10,251,10,253
249,15,256,25,20,251,15,250
244,170,248,175,173,246,170,245
236,52,248,65,57,241,52,236
232,75,248,87,81,238,75,233
224,202,239,225,210,232,202,224
224,34,241,50,39,229,34,230
220,189,229,200,194,224,189,221
210,121,226,138,125,220,121,210
209,51,222,64,56,211,51,209
201,155,217,173,160,205,155,202
201,52,207,58,54,203,52,201
183,36,201,75,47,194,36,184
181,91,204,110,98,186,91,181
178,13,187,29,24,182,13,178
168,50,178,59,54,172,50,168
164,40,171,49,44,167,40,164
154,219,171,234,228,160,219,154
154,168,167,185,178,160,168,155
148,75,167,100,91,155,75,148
142,231,156,252,235,150,231,142
128,178,143,194,188,134,178,129
122,12,142,31,22,125,12,123
116,198,133,215,203,124,198,117
114,249,120,255,252,115,249,115
110,15,117,21,17,112,15,114
106,52,121,74,64,114,52,111
100,155,104,160,156,101,157,104
99,105,122,144,109,103,105,100
98,162,109,190,179,102,162,99
81,227,101,244,235,93,227,81
79,27,91,44,34,83,27,79
76,200,88,216,204,79,200,77
64,123,78,144,133,69,123,65
61,81,81,95,85,70,81,61
55,67,68,83,76,61,67,55
51,242,58,252,245,52,242,52
31,190,53,207,200,45,190,32
29,210,52,227,218,45,210,33
25,48,51,60,52,37,48,25
22,14,43,32,16,25,14,23
14,102,31,116,108,20,102,14
13,202,22,211,206,16,202,14
