min_row,min_col,max_row,max_col,pos_x,pos_y,neg_x,neg_y
239,136,244,148,143,242,136,242
239,13,246,24,18,243,13,240
213,104,221,113,109,215,104,214
176,190,185,202,197,179,190,177
175,4,184,15,8,181,4,177
172,51,180,63,59,177,51,172
163,102,179,117,113,173,102,163
157,43,165,53,49,162,43,157
145,159,164,181,168,154,159,145
133,198,139,202,200,135,198,133
126,120,133,128,122,129,120,126
95,35,109,44,40,99,35,96
94,133,101,147,140,98,133,94
64,140,90,153,148,69,140,64
53,54,60,61,57,56,54,54
31,49,41,60,55,35,49,31
25,154,39,166,159,27,154,26
18,63,25,71,67,20,63,19
8,63,16,70,65,10,63,9
2,192,6,197,194,3,192,6
