min_row,min_col,max_row,max_col,pos_x,pos_y,neg_x,neg_y
245,167,255,175,171,248,167,246
243,212,254,223,217,246,212,243
243,38,256,49,44,248,38,243
242,189,252,202,196,246,189,243
210,66,218,77,70,213,66,210
209,110,222,124,118,218,110,211
202,182,213,204,187,208,182,203
191,31,208,39,34,200,31,192
187,88,199,97,94,190,88,188
181,200,200,217,213,188,200,181
176,125,185,137,130,181,125,177
175,59,196,81,70,189,59,176
153,176,161,185,179,158,176,153
141,25,151,37,34,145,25,141
140,119,165,133,123,155,119,140
140,55,147,63,58,142,55,140
133,60,144,74,69,137,60,134
99,180,107,189,185,103,180,100
69,94,76,102,97,72,94,70
62,52,78,75,59,71,52,63
45,130,60,144,138,48,130,46
36,54,46,74,59,41,54,37
23,176,38,194,185,32,176,24
16,60,32,78,69,21,60,16
