min_row,min_col,max_row,max_col,pos_x,pos_y,neg_x,neg_y
247,159,255,170,161,249,159,248
241,177,255,196,188,249,177,244
240,166,246,173,170,243,166,244
238,106,247,117,111,243,106,239
236,175,243,181,177,238,175,241
232,91,250,103,95,240,91,232
231,139,243,160,147,235,139,232
225,204,231,211,206,228,204,226
210,78,228,97,86,216,78,210
208,99,239,128,122,231,99,208
208,58,224,75,64,215,58,209
207,209,227,226,217,214,209,207
199,186,219,204,196,209,186,200
187,52,202,73,65,194,52,188
181,203,201,221,207,197,203,181
176,3,193,21,12,184,3,177
174,48,186,59,54,182,48,174
172,94,192,111,104,178,94,172
148,233,165,253,247,158,233,149
141,153,149,163,158,146,153,141
124,244,137,255,248,127,244,125
116,213,127,228,221,122,213,116
116,196,124,207,203,120,196,116
116,149,140,167,156,121,149,116
105,85,125,105,89,110,85,110
102,240,117,252,248,110,240,102
101,201,118,217,208,108,201,101
87,159,106,173,166,101,159,87
86,201,101,220,207,94,201,87
86,27,97,48,35,89,27,87
84,129,101,154,137,91,129,85
75,50,101,67,61,78,50,76
73,195,81,206,199,78,195,73
66,123,77,140,130,72,123,66
60,73,77,87,83,64,73,60
58,225,70,233,229,59,225,59
58,155,71,173,160,66,155,58
53,239,64,255,251,58,239,53
50,74,57,79,76,53,74,51
50,18,57,27,21,55,18,51
47,240,52,245,242,48,240,51
45,234,54,239,235,47,234,45
42,13,49,19,16,46,13,42
37,47,53,77,60,47,47,37
36,228,45,236,229,37,228,36
35,21,45,38,25,40,21,36
31,216,44,228,220,37,216,33
25,90,41,102,95,34,90,25
23,235,33,245,238,27,235,24
23,61,32,69,64,27,61,25
20,13,26,20,16,22,13,21
16,212,22,222,217,18,212,17
13,49,29,67,57,21,49,13
9,1,14,6,2,11,1,10
