min_row,min_col,max_row,max_col,pos_x,pos_y,neg_x,neg_y
169,15,183,30,21,178,15,170
124,51,132,57,53,126,51,125
107,47,116,58,53,110,47,107
105,11,112,21,14,108,11,105
89,93,101,105,99,95,93,89
82,221,101,231,227,96,221,82
75,180,96,196,187,91,180,76
69,121,82,135,127,74,121,69
68,168,78,176,172,75,168,70
67,78,82,90,81,74,78,68
61,245,68,255,250,64,245,61
41,135,53,151,144,45,135,43
39,181,50,197,185,44,181,40
34,128,46,137,132,38,128,35
16,127,33,134,130,25,127,16
1,63,17,73,67,9,63,1
