min_row,min_col,max_row,max_col,pos_x,pos_y,neg_x,neg_y
236,138,248,159,142,244,138,240
232,229,242,240,234,235,229,241
232,107,254,124,114,238,107,233
231,195,247,214,208,239,195,231
226,122,231,127,123,228,122,230
225,128,239,142,131,234,128,226
220,166,239,197,192,229,166,220
216,110,226,119,116,222,110,219
215,127,220,132,129,218,127,215
213,200,221,208,204,215,200,214
212,222,231,237,232,218,222,213
212,164,217,171,167,214,164,212
212,135,232,152,137,219,135,213
202,113,219,123,119,214,113,202
201,141,207,150,143,204,141,202
200,183,209,193,188,204,183,201
199,226,210,238,229,206,226,199
199,124,209,132,128,202,124,199
196,203,210,223,216,200,203,196
192,133,201,143,137,196,133,193
180,241,195,254,247,186,241,180
175,226,187,237,234,178,226,176
170,143,191,165,160,174,143,171
163,187,176,209,200,167,187,163
162,211,168,218,213,166,211,162
159,229,171,241,232,161,229,164
152,133,163,145,139,158,133,152
145,156,158,171,160,154,156,146
141,241,147,247,243,144,241,142
139,217,158,237,221,146,217,140
135,199,144,209,202,140,199,136
130,223,137,235,228,133,223,130
129,240,140,255,246,131,240,130
126,140,135,152,146,132,140,127
122,222,130,230,226,125,222,122
120,205,137,220,210,125,205,126
117,189,131,197,194,122,189,118
110,218,119,231,220,115,218,110
91,229,110,252,238,106,229,91
88,204,100,216,211,94,204,89
83,234,93,248,242,89,234,83
77,2,84,17,11,79,2,78
58,130,69,138,132,64,130,58
52,42,65,50,46,56,42,55
