min_row,min_col,max_row,max_col,pos_x,pos_y,neg_x,neg_y
238,131,254,153,141,246,131,239
224,20,253,35,25,241,20,224
208,182,224,197,189,214,182,209
205,77,223,96,87,213,77,207
193,235,215,252,243,201,235,193
192,161,211,180,167,196,161,193
192,56,208,78,63,198,56,193
182,129,219,146,139,188,129,183
174,242,191,255,245,182,242,175
173,196,196,209,202,189,196,174
172,250,176,255,252,173,250,176
169,97,191,121,103,174,97,169
161,6,180,30,9,176,6,161
155,62,175,79,67,166,62,155
141,225,153,236,229,148,225,142
133,152,141,162,157,136,152,134
125,163,144,180,170,135,163,126
123,212,142,227,219,130,212,124
87,91,107,104,97,92,91,88
64,208,79,228,216,72,208,65
49,57,68,76,69,60,57,50
33,245,37,251,248,35,245,33
33,74,48,91,83,38,74,33
17,200,35,216,208,29,200,18
17,30,42,61,41,34,30,17
9,2,23,22,16,13,2,9
5,114,12,130,127,6,114,5
1,203,5,208,204,3,205,5
