min_row,min_col,max_row,max_col,pos_x,pos_y,neg_x,neg_y
246,113,251,119,115,248,113,246
242,162,250,174,167,245,162,242
239,184,251,193,188,243,184,239
237,220,246,235,227,241,220,238
237,130,248,139,133,244,130,239
234,24,254,36,31,240,24,234
228,159,242,167,161,231,159,228
226,248,233,255,251,228,248,227
224,111,236,118,113,233,111,225
223,124,234,143,135,229,124,223
220,49,235,61,56,226,49,224
216,133,223,146,142,218,133,217
210,207,228,218,210,216,207,213
209,130,215,137,134,212,130,209
208,104,216,112,106,212,104,215
206,149,222,166,155,213,149,206
200,134,206,141,136,204,134,200
198,175,229,193,187,223,175,205
192,120,196,123,121,194,120,194
192,97,201,103,99,197,97,192
185,7,195,17,12,187,7,185
183,18,192,27,21,189,18,184
176,109,211,123,117,202,109,176
174,117,180,123,120,177,117,178
172,217,191,232,224,183,217,173
169,245,181,256,250,173,245,170
166,137,187,154,142,170,137,166
158,102,166,111,106,160,102,158
157,16,174,32,28,165,16,157
151,39,162,53,44,156,39,152
148,217,168,235,225,156,217,148
143,21,155,35,27,150,21,143
141,70,151,78,74,148,70,141
140,145,168,167,158,155,145,141
139,90,146,97,93,142,90,139
132,131,146,147,138,139,131,133
131,201,137,206,203,133,201,131
128,15,142,27,19,135,15,129
123,88,133,103,98,127,88,123
118,141,132,163,150,122,141,119
115,71,122,84,79,117,71,115
114,230,135,248,238,125,230,121
111,101,117,113,106,114,101,112
109,220,115,226,223,112,220,109
107,206,123,226,211,112,206,107
101,22,121,33,27,109,22,102
98,166,122,182,170,116,166,98
96,10,104,16,12,101,10,96
93,100,109,114,108,103,100,94
92,207,105,216,211,98,207,92
85,183,90,189,187,87,183,85
84,1,90,7,4,87,1,84
83,90,96,100,94,92,90,84
83,18,99,38,30,89,18,83
80,154,86,159,156,83,157,80
79,8,87,17,12,82,8,85
77,70,85,82,77,81,70,77
74,106,86,120,114,81,106,75
72,82,80,90,85,74,82,78
71,187,85,199,196,81,187,71
70,161,94,175,168,86,161,70
68,126,78,142,137,74,126,68
68,94,83,105,98,76,94,69
66,38,88,58,53,84,38,67
60,162,68,167,164,62,162,60
60,64,72,78,74,65,64,61
59,230,79,245,235,69,230,60
59,31,67,39,33,61,31,59
57,199,72,228,211,61,199,57
47,122,53,128,126,49,122,51
38,135,50,150,145,43,135,39
37,43,53,64,57,44,43,37
34,82,51,102,89,45,82,35
32,106,46,123,110,40,106,33
24,98,31,108,102,27,98,25
23,53,34,66,59,27,53,23
17,199,28,207,202,22,199,21
10,79,15,85,82,11,79,15
8,21,16,29,25,10,21,9
3,62,17,74,67,8,62,4
