min_row,min_col,max_row,max_col,pos_x,pos_y,neg_x,neg_y
244,147,255,153,151,252,147,244
242,44,251,52,49,245,44,243
210,81,220,97,89,215,81,210
208,206,218,222,215,211,206,209
204,128,216,158,143,208,128,204
203,54,220,66,58,205,54,204
190,29,197,42,34,193,29,190
186,187,197,209,195,192,187,186
183,161,198,183,178,188,161,184
182,30,198,55,49,194,30,184
171,214,181,236,220,177,214,174
165,229,173,243,238,168,229,166
154,37,165,60,49,159,37,154
153,2,183,20,15,176,2,154
152,16,159,27,24,155,16,152
148,230,164,247,237,153,230,148
142,85,151,96,91,145,85,144
139,112,160,133,122,150,112,139
134,180,146,189,184,137,180,135
134,78,145,108,100,140,78,135
128,230,146,250,243,134,230,128
128,109,135,129,122,129,109,129
119,51,136,73,56,127,51,123
116,9,131,27,18,122,9,116
111,124,121,134,128,116,124,111
108,26,116,34,30,111,26,110
105,35,119,46,38,113,35,105
103,158,116,174,169,111,158,104
100,149,108,156,152,104,149,100
90,128,98,136,131,94,128,91
89,195,102,212,201,96,195,89
87,51,99,63,55,91,51,88
86,227,93,237,232,89,227,86
85,162,94,172,166,88,162,86
82,13,100,32,20,89,13,82
79,102,91,122,105,85,102,80
78,190,86,199,195,81,190,78
76,1,94,12,9,90,1,76
68,157,84,173,165,77,157,72
65,174,86,192,183,73,174,65
56,229,63,238,234,58,229,56
55,138,71,152,145,58,138,56
42,39,53,50,44,48,39,42
39,186,55,201,192,44,186,39
18,217,32,230,222,25,217,18
7,75,26,87,82,18,75,7
6,1,10,8,5,7,1,9
3,223,13,233,225,10,223,6
1,100,17,121,115,13,100,2
