min_row,min_col,max_row,max_col,pos_x,pos_y,neg_x,neg_y
241,1,253,10,5,244,1,241
232,2,238,10,5,235,2,232
219,155,233,165,161,230,155,220
216,186,228,205,191,222,186,217
210,94,220,105,99,214,94,210
134,165,143,174,171,139,165,134
133,205,153,218,212,143,205,133
128,128,142,146,133,138,128,128
124,201,131,211,206,126,201,124
91,161,105,184,179,94,161,92
71,150,79,162,152,76,150,71
64,35,74,43,39,69,35,66
63,189,76,200,195,70,189,64
54,149,64,158,153,56,149,54
13,62,26,78,71,19,62,14
