min_row,min_col,max_row,max_col,pos_x,pos_y,neg_x,neg_y
234,10,255,28,18,245,10,234
233,40,252,50,44,242,40,235
226,93,232,100,96,228,93,228
221,231,239,248,239,227,231,222
209,4,227,24,15,221,4,209
208,84,227,100,88,220,84,208
204,172,224,189,184,220,172,207
202,224,214,251,227,209,224,203
201,145,216,167,155,206,145,202
193,101,207,111,106,201,101,193
193,52,203,63,57,198,52,193
191,145,200,158,148,193,145,196
153,97,164,114,110,156,97,153
148,157,161,169,162,154,157,150
131,225,161,247,242,134,225,136
130,58,148,77,64,137,58,130
125,124,140,145,134,132,124,125
115,230,121,236,232,117,231,115
115,216,139,230,224,132,216,115
114,164,129,180,170,122,164,115
111,190,133,206,199,124,190,111
109,103,115,110,106,112,103,110
90,81,102,96,87,94,81,91
89,164,105,182,168,95,164,89
88,120,101,142,129,93,120,88
88,44,105,65,54,97,44,92
87,20,112,40,30,106,20,87
81,228,98,241,234,84,228,82
74,201,87,218,208,79,201,74
73,141,91,157,148,85,141,74
72,123,84,135,130,79,123,73
66,83,88,97,86,80,83,66
61,30,86,60,38,78,30,61
56,183,68,202,184,57,183,64
49,180,60,199,184,57,180,49
49,106,67,123,114,54,106,49
46,18,50,22,19,49,18,46
45,173,51,181,176,46,173,45
29,182,45,210,196,37,182,30
29,164,41,179,172,33,164,29
27,67,37,86,73,31,67,28
25,214,40,240,237,29,214,25
24,12,44,56,16,36,12,24
13,188,28,208,195,24,188,18
5,239,15,252,246,9,239,5
