min_row,min_col,max_row,max_col,pos_x,pos_y,neg_x,neg_y
235,137,242,145,141,238,137,236
194,109,212,126,115,203,109,195
190,152,202,169,158,194,152,195
182,34,199,58,50,189,34,182
181,105,192,114,109,183,105,181
155,119,168,133,123,163,119,155
153,203,161,212,206,158,203,155
148,235,156,247,239,151,235,150
146,210,156,225,221,152,210,146
143,123,151,132,128,146,123,143
136,180,147,190,185,140,180,137
134,138,148,146,141,144,138,136
114,6,132,24,11,127,6,114
84,214,97,229,219,90,214,85
80,247,87,254,251,82,247,81
79,161,101,178,167,89,161,80
75,70,82,81,76,78,70,76
73,36,82,46,40,78,36,74
68,215,77,225,219,72,215,68
63,145,71,155,148,66,145,63
60,229,81,245,236,66,229,60
49,184,65,197,189,57,184,49
