min_row,min_col,max_row,max_col,pos_x,pos_y,neg_x,neg_y
245,188,255,200,191,249,188,245
244,58,254,68,62,247,58,244
227,66,246,80,72,238,66,228
208,76,224,88,81,218,76,209
197,196,210,207,202,203,196,198
196,238,207,251,245,202,238,197
183,146,195,174,161,190,146,183
182,179,198,196,192,194,179,182
179,213,193,239,224,184,213,179
172,62,183,76,67,176,62,172
167,158,184,174,164,174,158,168
160,177,180,196,184,166,177,160
157,41,179,57,48,165,41,158
154,193,168,210,204,163,193,154
148,42,157,50,45,151,42,148
140,119,150,132,127,146,119,140
139,147,155,167,152,149,147,140
139,95,152,119,107,142,95,139
131,142,140,151,143,135,142,131
123,210,137,226,216,129,210,124
122,77,140,93,83,132,77,122
112,214,120,225,217,114,214,112
112,137,125,151,144,115,137,113
106,3,116,10,8,112,3,107
105,15,119,35,19,113,15,105
103,112,114,121,116,108,112,103
102,153,112,170,163,106,153,106
97,47,113,65,52,106,47,98
97,1,103,6,4,99,1,101
96,139,107,156,150,101,139,96
86,119,101,138,124,89,119,86
84,1,96,16,6,88,1,85
80,25,87,34,29,81,25,81
78,57,84,64,61,81,57,79
77,192,95,206,195,88,192,78
68,237,79,249,240,75,237,68
63,211,94,224,215,85,211,63
62,146,81,160,149,76,146,63
56,102,74,120,116,68,102,57
48,6,65,22,16,56,6,48
47,197,61,210,200,53,197,47
33,179,46,193,183,39,179,34
23,222,38,239,231,31,222,23
23,157,40,178,163,28,157,23
17,96,26,105,102,23,96,18
13,218,25,226,222,19,218,15
12,135,35,152,145,19,135,13
1,80,7,92,83,2,80,7
