min_row,min_col,max_row,max_col,pos_x,pos_y,neg_x,neg_y
242,59,255,75,66,248,59,243
236,216,244,225,219,240,216,236
228,195,245,213,199,234,195,228
220,161,232,171,166,224,161,220
220,17,236,36,26,224,17,221
212,230,219,240,237,214,230,213
212,119,224,136,126,219,119,212
204,246,207,252,248,205,246,205
204,163,220,180,168,213,163,205
200,51,218,71,56,205,51,201
199,90,221,111,99,213,90,200
197,26,210,43,33,199,26,197
187,30,194,37,33,191,30,188
186,181,205,200,194,198,181,186
179,118,185,123,121,181,118,179
172,93,202,116,102,181,93,173
171,59,177,67,61,173,59,172
168,183,176,199,190,172,183,168
166,200,177,214,205,170,200,166
166,41,183,58,52,170,41,166
165,19,173,25,21,169,19,168
164,215,175,227,222,169,215,165
163,71,174,82,75,167,71,163
152,17,161,28,20,155,17,152
149,49,161,57,52,155,49,149
148,82,153,87,84,150,82,148
141,85,163,99,95,155,85,142
140,23,158,48,29,144,23,140
139,188,153,204,197,144,188,141
133,61,144,74,70,136,61,133
126,211,145,227,220,138,211,126
123,78,130,89,85,126,78,123
122,116,131,123,118,125,116,122
120,10,126,17,14,122,10,125
116,24,125,31,28,119,24,121
114,3,119,6,4,117,3,116
107,51,123,64,57,114,51,108
106,146,127,161,152,117,146,106
102,10,117,25,19,109,10,103
100,213,104,218,214,102,213,100
92,190,106,215,209,96,190,92
91,139,99,146,142,94,139,92
90,175,100,184,180,94,175,90
88,65,119,88,82,110,65,89
87,112,99,123,116,91,112,88
86,225,105,249,239,91,225,87
84,92,101,101,96,89,92,84
76,173,84,184,177,79,173,77
75,249,80,255,251,77,249,77
73,35,85,43,39,77,35,73
67,155,83,173,159,77,155,68
65,105,77,129,122,69,105,66
52,233,64,253,236,57,233,52
48,19,62,37,25,54,19,49
46,206,76,242,232,66,206,47
45,162,53,169,165,47,162,46
43,152,55,161,156,46,152,43
40,1,47,7,3,43,1,41
31,19,42,35,25,35,19,32
27,218,41,233,223,33,218,27
27,40,33,51,43,30,40,28
24,158,45,177,165,34,158,24
24,116,39,137,125,32,116,25
21,148,29,156,152,24,148,21
21,135,30,147,139,25,135,21
8,73,17,86,81,13,73,8
7,213,15,220,217,9,213,13
6,64,11,71,67,8,64,11
