min_row,min_col,max_row,max_col,pos_x,pos_y,neg_x,neg_y
242,101,250,112,110,247,101,242
241,216,254,240,232,248,216,242
222,33,235,57,39,229,33,223
221,59,230,69,64,225,59,222
213,174,232,195,180,227,174,213
210,135,218,145,139,214,135,211
208,165,215,173,169,210,165,208
188,148,210,161,156,200,148,189
179,182,187,191,185,182,182,180
178,193,189,202,197,185,193,178
177,215,194,231,222,185,215,178
176,42,190,64,56,182,42,177
163,200,172,206,204,165,200,164
158,181,174,199,193,168,181,158
130,250,136,255,252,133,250,133
109,228,120,236,231,113,228,109
109,42,124,58,51,114,42,110
106,147,122,167,159,116,147,107
102,122,114,133,126,108,122,103
90,102,105,121,114,97,102,91
73,1,76,4,2,74,1,74
56,75,68,88,83,64,75,56
54,29,62,40,32,58,29,54
48,202,58,213,205,53,202,48
43,244,49,255,248,46,244,44
43,96,60,110,103,51,96,44
43,11,66,29,24,52,11,43
40,160,53,174,168,46,160,40
36,147,45,156,153,41,147,37
34,94,43,109,105,36,94,35
34,25,42,30,27,38,25,35
30,7,39,16,9,32,7,34
26,246,34,255,252,29,246,26
21,124,38,150,130,27,124,27
18,241,27,255,245,23,241,18
17,152,30,162,156,23,152,17
11,32,21,43,35,15,32,13
10,18,17,29,24,13,18,10
6,114,22,129,118,16,114,6
6,42,17,57,53,12,42,6
5,1,16,12,7,10,1,6
3,77,11,89,82,7,77,3
1,203,9,213,208,4,203,2
