min_row,min_col,max_row,max_col,pos_x,pos_y,neg_x,neg_y
250,131,255,135,132,253,131,250
243,54,250,60,58,246,54,244
229,10,237,22,15,231,10,230
228,214,246,229,220,242,214,228
221,103,226,109,105,223,103,225
220,147,229,158,154,222,147,221
220,3,232,15,14,231,3,220
214,35,219,39,36,216,35,217
213,127,231,145,138,217,127,213
213,21,226,33,27,217,21,215
207,60,219,68,64,210,60,207
206,138,210,143,140,208,138,207
206,46,227,58,54,209,46,206
205,216,231,239,233,225,216,205
205,18,215,24,20,207,18,205
204,105,223,125,121,208,105,207
199,51,205,57,54,201,51,200
191,5,205,19,11,196,5,192
187,231,200,244,238,190,231,187
187,179,197,189,182,192,179,187
187,54,195,64,60,191,54,188
183,203,195,213,209,188,203,184
183,103,200,118,108,194,103,184
182,246,192,255,251,185,246,182
182,40,193,50,44,187,40,182
179,24,185,32,26,183,24,179
178,202,181,206,203,179,202,178
177,196,187,201,198,184,196,177
171,135,180,144,138,176,135,172
170,212,182,220,214,178,212,170
170,160,187,179,171,175,160,171
167,236,185,253,252,184,236,168
160,200,172,209,203,165,200,160
157,41,168,56,50,160,41,158
153,22,177,40,27,169,22,153
152,237,159,244,240,155,237,153
151,116,156,121,117,154,116,151
145,71,167,101,90,151,71,151
141,59,160,76,70,153,59,142
136,78,144,89,87,138,78,137
132,64,140,76,71,136,64,132
130,89,137,95,92,133,89,131
129,15,146,33,18,136,15,130
128,102,151,120,107,133,102,129
126,223,148,244,233,131,223,126
123,67,130,74,71,125,67,123
123,33,136,44,38,127,33,124
119,161,140,184,173,135,161,123
115,7,119,19,7,117,7,115
114,155,120,160,158,116,155,114
113,18,125,30,26,117,18,114
107,26,112,34,31,109,26,108
106,77,120,88,82,111,77,106
89,52,96,60,57,93,52,90
87,11,100,20,12,93,11,87
84,38,95,51,42,87,38,84
82,200,106,216,207,98,200,83
80,132,115,160,155,109,132,80
80,75,104,88,81,98,75,81
79,116,93,131,124,86,116,80
79,29,85,42,40,80,29,80
78,20,96,28,23,82,20,78
76,172,90,186,178,83,172,86
74,48,81,54,51,77,48,75
70,41,77,47,42,74,41,70
65,233,71,243,240,69,233,65
64,153,71,160,156,67,153,65
63,179,72,189,185,66,179,64
57,224,62,230,226,59,224,62
57,191,68,208,198,61,191,57
55,69,66,80,74,61,69,56
53,148,66,174,166,61,148,54
48,87,63,108,99,55,87,48
44,177,61,202,193,51,177,44
44,32,69,50,44,55,32,44
41,226,44,230,228,42,226,41
39,79,48,97,88,45,79,39
38,247,45,254,251,38,247,39
33,233,61,244,238,39,233,34
18,131,37,142,135,22,131,18
18,115,32,130,126,29,115,20
17,51,41,64,56,36,51,18
10,224,31,240,233,22,224,10
5,94,19,106,99,10,94,5
2,19,19,35,23,10,19,2
1,200,17,214,203,8,200,1
1,87,15,93,89,11,87,1
1,57,13,68,61,9,57,1
