min_row,min_col,max_row,max_col,pos_x,pos_y,neg_x,neg_y
238,227,247,233,229,243,227,241
235,216,241,228,223,239,216,236
235,196,246,207,201,242,196,235
235,80,250,89,83,245,80,236
225,233,239,255,245,231,233,226
214,139,234,153,144,224,139,214
188,107,204,128,115,195,107,189
183,48,201,64,57,193,48,183
183,25,200,44,31,193,25,183
182,154,203,177,168,196,154,182
168,116,185,133,124,178,116,168
157,130,167,141,133,161,130,157
152,7,165,20,13,158,7,153
137,140,156,156,150,147,140,137
136,99,151,120,113,140,99,136
134,4,152,20,10,140,4,143
129,202,141,214,209,135,202,130
127,53,141,67,59,133,53,127
125,118,142,136,130,133,118,126
115,25,124,40,33,120,25,116
105,66,127,85,74,117,66,105
95,85,108,101,90,101,85,96
64,45,82,60,54,71,45,65
37,240,55,255,247,44,240,37
35,183,48,199,192,42,183,35
23,160,39,178,170,31,160,24
18,198,39,220,206,24,198,18
17,142,33,159,147,28,142,17
