epoch,step,test_dataset_accuracy,test_dataset_f1,test_dataset_iou,test_dataset_recall,test_per_image_iou,train_dataset_accuracy,train_dataset_f1,train_dataset_iou,train_dataset_recall,train_per_image_iou,val_loss,valid_dataset_accuracy,valid_dataset_f1,valid_dataset_iou,valid_dataset_recall,valid_per_image_iou
0,101,,,,,,,,,,,0.5737835168838501,0.9549936056137085,0.6586341857910156,0.49101758003234863,0.746993362903595,0.5161126255989075
0,101,,,,,,0.7950218915939331,0.3209468126296997,0.19114750623703003,0.81446772813797,0.3206999897956848,,,,,,
1,203,,,,,,,,,,,0.3746504485607147,0.9764047861099243,0.7538581490516663,0.6049537062644958,0.6029260754585266,0.5372942686080933
1,203,,,,,,0.962261438369751,0.6842538118362427,0.5200499892234802,0.7404667139053345,0.5053751468658447,,,,,,
2,305,,,,,,,,,,,0.3766458332538605,0.9766713380813599,0.7257422804832458,0.5695412158966064,0.5253402590751648,0.4963856041431427
2,305,,,,,,0.97133469581604,0.7359597086906433,0.5822280645370483,0.7165021896362305,0.5637919902801514,,,,,,
3,407,,,,,,,,,,,0.31445950269699097,0.9782923460006714,0.7614737749099731,0.614822506904602,0.5910181999206543,0.545301616191864
3,407,,,,,,0.974303662776947,0.7627642154693604,0.616506814956665,0.7276003956794739,0.5925411581993103,,,,,,
4,509,,,,,,,,,,,0.286105751991272,0.9787552356719971,0.7769196629524231,0.6352155208587646,0.6580936908721924,0.57924485206604
4,509,,,,,,0.9753285050392151,0.773301362991333,0.6303922533988953,0.7387752532958984,0.6042025089263916,,,,,,
5,611,,,,,,,,,,,0.2671149671077728,0.9780317544937134,0.7825480699539185,0.6427753567695618,0.7056111097335815,0.5956853032112122
5,611,,,,,,0.9763107299804688,0.7843897342681885,0.6452641487121582,0.7521095275878906,0.623169481754303,,,,,,
6,713,,,,,,,,,,,0.271675169467926,0.9792781472206116,0.782814621925354,0.6431350708007812,0.6438485383987427,0.5819754600524902
6,713,,,,,,0.97694993019104,0.790736734867096,0.653899610042572,0.7548363208770752,0.6327657103538513,,,,,,
7,815,,,,,,,,,,,0.2602207660675049,0.9794292449951172,0.7886113524436951,0.6509978175163269,0.6847635507583618,0.597520112991333
7,815,,,,,,0.9773433208465576,0.7954068779945374,0.6603116989135742,0.757943332195282,0.6397766470909119,,,,,,
8,917,,,,,,,,,,,0.2612047493457794,0.9793762564659119,0.7879631519317627,0.650114893913269,0.6740323901176453,0.6012168526649475
8,917,,,,,,0.9777792096138,0.7992334961891174,0.6656027436256409,0.7646702527999878,0.6466078162193298,,,,,,
9,1019,,,,,,,,,,,0.2579874098300934,0.9796397686004639,0.7887662649154663,0.6512089967727661,0.6747034192085266,0.5948246717453003
9,1019,,,,,,0.9781472682952881,0.8032084107398987,0.6711347103118896,0.7678697109222412,0.6577284932136536,,,,,,
10,1121,,,,,,,,,,,0.27754896879196167,0.9794108867645264,0.7751172184944153,0.6328092813491821,0.6208508610725403,0.5640944242477417
10,1121,,,,,,0.9784340858459473,0.8060379028320312,0.6750950217247009,0.7748820781707764,0.6578812003135681,,,,,,
11,1122,,,,,,,,,,,0.27754896879196167,0.9794108867645264,0.7751172184944153,0.6328092813491821,0.6208508610725403,0.5640944242477417
11,1122,0.9824638962745667,0.8170913457870483,0.6907475590705872,0.7541297674179077,0.6657159328460693,,,,,,,,,,,
