31,156,510.0,570.0
151,225,500.0,680.0
44,49,420.0,1000.0
178,176,520.0,590.0
23,185,320.0,620.0
81,38,280.0,140.0
147,166,280.0,280.0
177,29,420.0,1080.0
215,198,330.0,910.0
84,142,370.0,690.0
77,235,250.0,380.0
232,149,260.0,1010.0
103,63,340.0,750.0
98,118,350.0,450.0
173,120,280.0,670.0
209,49,320.0,620.0
45,84,270.0,200.0
62,66,320.0,140.0
87,82,340.0,650.0
16,111,300.0,950.0
144,56,300.0,910.0
170,248,300.0,630.0
213,123,320.0,1430.0
133,206,360.0,920.0
245,83,400.0,1470.0
112,228,240.0,500.0
113,140,270.0,220.0
225,243,480.0,690.0
234,72,400.0,950.0
11,168,260.0,90.0
204,146,210.0,70.0
132,156,250.0,260.0
23,28,320.0,250.0
7,137,310.0,510.0
217,98,270.0,380.0
51,138,300.0,250.0
219,184,310.0,120.0
213,165,290.0,80.0
49,246,200.0,140.0
92,213,220.0,90.0
128,21,220.0,50.0
150,249,390.0,240.0
74,19,210.0,50.0
125,198,360.0,50.0
246,243,300.0,120.0
238,247,300.0,100.0
18,62,340.0,80.0
32,118,300.0,80.0
96,90,290.0,80.0
3,58,1020.0,180.0
