167,72,280.0,920.0
22,169,304.0,416.0
135,85,296.0,944.0
150,57,272.0,176.0
144,218,280.0,136.0
111,90,296.0,192.0
121,46,248.0,608.0
25,219,272.0,200.0
152,199,296.0,408.0
210,45,288.0,120.0
118,172,272.0,296.0
27,123,272.0,88.0
108,237,288.0,80.0
183,232,288.0,160.0
54,196,312.0,176.0
113,15,280.0,72.0
43,234,328.0,208.0
247,16,304.0,112.0
192,88,224.0,64.0
213,134,280.0,272.0
136,240,240.0,56.0
186,150,280.0,160.0
22,182,304.0,280.0
69,19,280.0,88.0
7,228,272.0,104.0
195,196,296.0,72.0
218,53,304.0,120.0
193,216,288.0,192.0
63,212,296.0,56.0
152,108,256.0,104.0
236,62,336.0,120.0
71,9,248.0,160.0
56,8,248.0,80.0
139,158,240.0,88.0
68,186,320.0,64.0
59,109,296.0,88.0
197,35,304.0,80.0
48,121,280.0,192.0
22,66,304.0,96.0
201,177,272.0,112.0
179,163,280.0,80.0
90,224,272.0,80.0
205,213,288.0,120.0
184,190,296.0,72.0
184,211,304.0,192.0
159,127,264.0,56.0
102,248,296.0,336.0
17,128,272.0,104.0
51,212,296.0,104.0
11,61,312.0,88.0
103,205,288.0,88.0
72,134,304.0,128.0
173,237,288.0,136.0
85,250,232.0,184.0
49,247,336.0,80.0
37,195,280.0,56.0
71,236,288.0,80.0
48,147,288.0,64.0
218,245,256.0,88.0
237,47,312.0,56.0
98,74,288.0,64.0
155,243,320.0,136.0
91,150,272.0,56.0
126,202,272.0,56.0
109,79,296.0,88.0
101,106,296.0,72.0
16,78,248.0,72.0
112,210,288.0,80.0
125,195,288.0,96.0
155,234,328.0,64.0
241,143,216.0,56.0
230,19,312.0,56.0
31,246,288.0,56.0
227,57,336.0,120.0
54,105,296.0,56.0
137,196,288.0,64.0
141,73,256.0,72.0
236,184,320.0,56.0
52,116,296.0,56.0
71,215,296.0,56.0
233,225,304.0,112.0
82,187,312.0,80.0
133,177,280.0,72.0
185,252,368.0,72.0
2,90,304.0,56.0
