min_row,min_col,max_row,max_col
240,216,248,223
239,159,254,181
235,17,241,25
233,1,245,15
221,28,232,38
197,33,213,51
190,201,206,217
190,53,197,61
185,125,193,133
177,158,189,175
174,41,191,57
163,9,187,22
160,96,180,112
153,147,171,164
153,119,174,134
151,136,158,143
138,247,144,255
130,59,135,66
101,11,118,30
94,67,108,86
88,175,102,191
88,64,96,74
85,98,106,113
71,205,85,220
69,220,83,236
64,181,76,193
57,145,70,156
45,112,54,121
44,236,63,253
43,151,57,165
25,66,41,84
25,33,46,48
24,222,43,241
