min_row,min_col,max_row,max_col
250,205,255,213
239,76,255,95
236,203,248,221
225,165,245,193
225,150,239,165
225,135,237,147
221,97,238,107
218,109,238,125
209,74,227,90
207,126,225,141
195,29,210,48
186,179,194,193
178,88,194,106
173,161,186,178
166,184,185,199
166,1,178,15
160,37,175,55
153,134,169,152
144,114,169,128
141,95,163,111
120,34,134,46
117,98,123,104
111,164,132,182
103,175,120,189
97,22,108,34
87,17,96,34
81,151,101,165
74,159,82,171
71,135,90,155
71,37,89,54
69,235,91,250
62,116,82,130
59,179,72,202
57,9,68,17
55,53,72,69
44,129,59,151
35,206,52,221
32,107,47,126
30,153,46,167
22,74,52,90
2,13,33,25
