min_row,min_col,max_row,max_col
239,42,252,52
233,162,247,185
224,93,246,106
223,138,236,151
219,209,231,218
215,56,225,63
209,149,216,157
201,217,218,237
200,124,220,139
184,206,197,223
182,131,201,148
180,234,195,253
179,72,201,83
170,15,187,28
168,109,188,128
160,13,171,34
144,3,154,14
127,37,147,52
100,190,115,202
94,44,98,49
86,140,96,151
85,79,101,101
85,14,101,31
84,53,96,62
60,178,77,199
58,81,87,102
47,137,63,152
43,47,55,59
41,202,50,214
41,61,60,77
29,46,42,57
26,15,31,24
20,240,39,254
20,191,36,210
14,49,29,69
14,20,32,40
2,71,9,80
1,125,16,138
