min_row,min_col,max_row,max_col
238,211,250,230
238,115,254,130
234,229,239,237
232,246,237,255
232,170,241,182
191,118,208,142
173,83,188,94
152,95,168,113
151,123,174,141
147,170,153,180
140,35,151,48
127,179,145,200
121,131,138,148
120,6,129,15
119,20,135,34
95,111,109,130
92,221,103,232
78,93,88,101
77,127,94,143
76,112,91,125
65,197,79,212
64,103,81,113
52,110,65,120
44,177,52,184
38,15,50,27
33,186,55,200
33,83,46,113
32,45,48,65
28,117,37,127
22,251,26,255
15,113,24,125
10,19,23,40
1,212,15,224
