min_row,min_col,max_row,max_col
154,148,174,166
149,139,162,148
147,59,164,71
129,137,144,159
123,121,131,137
122,12,136,27
115,168,131,182
113,97,119,103
104,5,112,14
103,235,119,243
103,177,117,192
101,228,109,235
95,97,112,104
89,121,104,140
83,12,105,40
81,191,94,201
75,218,86,242
72,54,80,65
66,104,78,120
65,200,85,212
60,79,80,95
60,59,72,79
56,37,71,54
46,85,56,92
45,114,53,124
43,197,55,209
28,212,35,220
24,109,40,130
23,198,38,211
19,93,27,102
19,48,43,67
15,248,22,254
4,86,18,101
3,66,12,82
