min_row,min_col,max_row,max_col
244,164,255,178
244,142,251,152
239,78,248,92
235,223,246,247
234,196,252,222
230,150,236,155
226,183,239,203
225,100,233,109
221,165,231,180
221,75,238,99
219,202,232,215
219,156,238,165
208,145,217,163
205,123,230,140
200,117,206,125
170,115,186,129
146,117,160,125
131,112,143,123
123,214,143,233
106,180,124,200
102,1,126,35
98,246,102,251
98,58,115,73
96,232,104,241
96,179,102,187
95,22,99,29
92,146,110,172
92,117,100,127
86,242,92,250
82,160,90,168
82,7,98,28
80,112,93,121
77,144,84,150
75,18,81,24
71,150,79,156
71,52,81,66
69,232,78,241
69,210,87,229
67,95,80,106
65,191,73,200
65,24,88,39
64,169,93,195
59,136,70,157
56,173,63,180
54,159,60,165
52,215,67,227
49,99,65,116
46,54,51,58
45,136,60,147
44,54,69,70
41,127,46,132
40,141,46,145
26,215,33,232
26,128,41,141
21,85,31,102
20,170,25,176
18,67,38,82
13,13,18,21
12,226,27,247
12,153,27,172
10,24,32,45
9,184,17,191
8,132,25,144
7,240,10,244
4,197,10,203
2,162,12,178
1,73,7,78
