min_row,min_col,max_row,max_col
238,137,255,151
232,118,245,132
232,68,241,82
231,91,236,98
227,160,245,173
219,52,225,58
218,184,233,205
217,121,224,128
207,63,216,75
204,81,229,111
203,240,211,248
201,198,218,215
199,54,207,60
193,232,198,238
193,111,213,126
193,19,212,38
191,152,204,165
187,9,196,19
183,170,196,185
182,223,190,234
182,45,206,68
181,210,194,222
177,217,183,225
174,36,183,50
166,230,187,249
161,156,188,171
159,78,180,94
155,148,161,155
154,72,161,81
143,187,151,196
141,51,148,59
137,213,165,233
133,79,151,97
131,137,140,145
130,223,135,228
128,119,145,135
128,1,134,7
127,179,142,201
126,232,138,247
122,149,127,154
119,3,129,16
117,53,139,70
116,153,132,171
116,140,124,152
115,221,131,233
109,74,134,98
103,194,119,207
102,104,126,125
100,215,111,225
99,125,124,145
97,23,129,39
73,71,93,91
73,14,95,32
72,136,81,144
71,117,91,128
70,233,80,242
58,75,71,90
56,122,72,137
55,146,77,160
53,183,70,200
47,43,66,66
46,92,66,107
46,17,55,39
43,223,67,241
42,155,59,172
40,141,53,154
37,69,53,86
31,227,40,237
15,119,38,134
13,58,34,99
6,109,12,113
2,36,23,53
