min_row,min_col,max_row,max_col
247,105,255,111
236,62,251,85
234,177,252,194
223,193,235,205
199,193,218,211
195,2,213,18
186,177,206,190
186,11,195,19
185,140,195,148
176,174,187,186
175,17,187,31
174,58,181,65
165,191,191,205
162,43,169,54
157,227,164,241
155,38,163,46
148,29,153,37
133,42,146,52
131,213,152,231
111,56,126,70
106,83,127,100
101,179,119,197
94,221,117,240
94,142,108,154
79,205,103,218
78,142,90,152
77,177,83,184
75,92,91,108
72,184,82,198
66,58,91,73
65,226,80,237
55,192,71,207
45,118,67,134
31,35,54,61
12,176,32,190
10,40,30,57
6,124,33,137
1,223,11,235
1,199,5,205
1,113,13,124
