min_row,min_col,max_row,max_col
249,44,256,51
247,102,254,109
242,241,247,244
234,80,242,89
231,177,252,193
218,240,237,255
204,120,235,132
202,132,220,153
197,143,203,148
196,10,213,25
194,137,200,142
191,62,209,81
184,123,194,139
168,240,185,255
162,104,176,114
150,161,167,177
150,94,163,113
149,182,162,195
146,67,166,78
139,2,149,13
136,226,154,242
132,212,146,224
129,193,145,208
123,168,142,187
114,164,126,173
114,2,128,18
111,214,130,230
104,86,120,102
88,142,105,158
80,34,95,58
77,208,89,216
60,72,71,90
58,106,64,113
54,70,58,74
45,92,65,108
34,60,49,81
20,227,26,231
20,82,32,92
16,113,28,134
10,142,24,154
10,19,23,30
4,232,25,245
