min_row,min_col,max_row,max_col
245,161,256,170
236,243,248,255
234,82,243,94
233,216,251,238
228,168,243,177
222,186,233,206
222,132,242,150
216,208,235,218
213,91,234,108
212,119,220,131
209,31,226,50
206,149,226,170
201,220,226,241
199,64,212,72
198,78,217,114
194,244,209,252
187,232,198,237
186,216,197,230
183,95,190,104
177,71,194,81
167,104,184,120
156,239,178,253
154,213,169,232
150,160,178,177
145,233,158,244
130,248,146,256
127,84,151,96
105,48,126,67
91,150,97,154
84,97,106,111
81,161,99,172
77,178,83,186
77,67,94,82
72,152,79,159
71,36,90,61
69,52,81,65
61,1,73,15
56,139,88,150
54,37,71,58
47,88,64,107
36,10,41,16
31,137,57,159
28,18,46,35
25,144,34,151
11,122,25,142
5,160,17,172
3,143,12,157
3,43,24,60
