min_row,min_col,max_row,max_col
251,181,255,186
248,18,255,24
247,248,251,254
243,203,255,217
241,25,255,43
233,69,248,85
215,144,227,162
214,208,230,227
212,126,231,142
212,80,222,100
209,252,211,255
201,189,212,208
197,79,210,95
197,14,212,25
191,29,210,47
170,166,187,186
168,100,178,109
159,242,174,255
153,128,168,141
147,106,156,116
139,240,147,248
138,121,155,138
136,81,162,100
135,28,142,39
129,132,139,144
125,68,142,88
103,113,111,122
99,236,118,253
93,43,110,65
83,6,103,20
82,116,102,145
69,135,80,148
42,218,57,238
29,203,41,212
29,70,36,76
20,59,38,78
2,155,11,168
