min_row,min_col,max_row,max_col
248,57,254,67
238,234,251,244
237,203,253,222
237,7,252,33
235,173,246,182
234,103,253,120
234,36,240,42
233,43,249,66
230,76,246,95
228,228,234,233
225,7,235,15
224,125,242,142
224,64,236,77
223,93,234,111
218,140,228,155
217,172,226,186
217,22,235,41
212,78,228,89
211,168,217,174
210,204,216,210
208,219,225,231
204,120,219,136
203,3,214,16
197,205,211,224
188,187,201,208
185,19,211,36
184,160,191,169
182,98,195,112
181,77,202,91
179,180,187,188
177,134,185,143
176,61,195,77
172,234,177,240
163,148,175,158
160,26,176,41
158,220,169,227
158,200,166,210
158,93,175,118
157,7,162,14
142,1,155,17
141,198,154,206
137,93,149,106
134,240,143,251
134,179,168,196
131,216,154,238
128,32,151,45
125,203,138,214
120,73,140,94
116,211,124,219
109,173,121,188
106,246,115,255
106,28,112,39
104,200,119,214
102,224,114,238
102,139,109,148
102,45,132,68
100,150,109,160
99,191,108,202
97,20,100,25
96,48,102,56
92,173,109,185
87,217,101,228
80,184,85,191
80,150,99,172
79,9,85,16
78,226,90,233
77,204,90,216
76,121,90,144
74,174,82,181
73,58,79,67
72,191,80,198
71,26,104,44
69,163,78,171
67,235,81,249
62,212,81,237
60,142,77,161
54,111,68,123
50,202,58,209
46,77,58,94
45,236,59,250
39,163,46,170
34,218,54,240
33,193,50,214
19,73,29,83
4,210,9,216
3,235,12,244
3,49,8,54
