min_row,min_col,max_row,max_col
97,167,110,180
88,205,99,220
81,122,94,131
77,135,94,151
72,121,80,139
67,160,80,175
60,218,77,236
56,199,80,213
55,74,65,93
52,174,68,194
52,37,58,44
51,191,56,197
47,87,54,93
43,186,50,192
37,240,54,255
37,203,44,211
32,96,64,115
30,25,49,45
26,199,30,206
19,161,29,175
17,42,31,53
16,213,25,221
16,89,36,108
12,181,39,201
9,41,16,49
8,164,16,171
7,87,13,93
4,203,10,211
3,173,11,182
2,188,9,197
2,152,7,157
1,211,12,225
1,132,14,147
