min_row,min_col,max_row,max_col
237,178,254,199
236,25,242,31
233,202,244,214
219,11,239,21
211,83,221,91
190,20,202,32
184,250,190,255
165,196,177,216
165,167,182,182
146,225,157,235
143,181,164,200
140,201,154,220
136,17,143,25
134,162,142,178
122,25,134,40
116,100,132,119
112,68,125,80
109,41,124,61
94,77,111,92
85,174,103,193
82,49,97,66
80,102,90,117
76,211,95,224
73,139,93,156
59,234,81,250
58,185,78,195
57,1,63,13
53,15,75,40
51,195,68,222
51,5,56,10
28,135,45,150
18,4,35,16
13,120,30,137
10,220,26,233
4,83,23,100
3,229,14,242
1,185,13,197
1,71,7,76
1,51,12,65
