min_row,min_col,max_row,max_col
252,189,255,193
250,196,253,202
247,213,251,218
246,203,255,211
240,220,246,230
236,125,255,139
236,34,245,44
230,184,246,214
229,153,247,170
228,178,234,184
224,35,237,63
223,244,234,255
211,60,221,71
210,168,229,179
208,1,215,7
197,102,205,113
191,133,210,143
182,210,195,225
168,76,181,94
152,94,165,114
149,129,160,139
128,112,137,124
123,212,146,230
123,208,130,217
119,84,137,99
118,122,136,138
117,158,133,172
112,225,117,230
111,233,132,252
99,146,113,160
99,50,119,64
93,176,102,185
92,27,109,43
91,214,101,224
90,77,98,87
89,95,102,109
86,202,91,206
86,152,98,167
85,116,102,134
84,220,103,238
84,208,91,216
79,177,99,201
79,98,88,111
77,21,93,66
75,212,80,220
67,86,90,102
65,198,80,219
58,30,70,39
41,189,51,205
33,41,54,60
31,208,59,228
28,219,36,225
24,203,30,210
18,250,24,254
17,31,46,44
9,21,14,29
8,47,22,66
6,136,16,145
4,30,13,44
3,209,19,221
2,79,12,87
