min_row,min_col,max_row,max_col
242,175,255,190
239,52,250,69
225,232,243,247
220,163,231,171
217,15,229,29
199,141,215,157
192,221,205,242
191,166,204,178
189,94,207,115
189,56,207,77
181,123,188,128
168,228,181,240
167,89,181,111
166,119,180,138
164,78,170,86
161,156,178,173
156,1,168,19
154,193,172,212
152,216,169,231
130,121,153,133
126,12,142,28
122,36,134,48
104,7,113,18
102,223,120,237
94,111,105,123
89,46,96,55
75,33,87,52
69,175,85,199
63,138,81,151
57,76,79,93
54,16,72,33
49,225,62,253
45,67,57,78
38,148,47,162
30,78,45,98
22,182,30,193
11,110,24,121
10,147,23,161
8,195,20,206
8,171,23,183
7,77,28,92
5,46,19,65
