min_row,min_col,max_row,max_col
233,172,237,177
231,65,241,85
229,132,250,149
226,1,231,11
222,176,236,200
218,124,224,130
212,186,219,192
212,53,218,62
209,151,229,172
206,141,213,147
202,169,209,177
200,106,221,133
186,149,194,162
186,49,199,73
179,69,185,74
171,123,192,148
171,14,187,36
166,115,171,122
163,86,194,116
161,74,180,88
148,80,162,100
144,134,162,153
93,33,107,50
81,45,99,67
74,108,87,126
71,150,92,167
62,176,82,193
50,55,59,68
45,64,77,82
39,154,56,173
35,147,48,154
29,95,46,117
28,74,45,93
26,185,46,201
21,144,34,173
20,68,26,76
19,117,28,126
12,156,22,164
4,200,20,215
4,136,16,152
3,166,24,192
