min_row,min_col,max_row,max_col
244,147,255,153
242,44,251,52
210,81,220,97
208,206,218,222
204,128,216,158
203,54,220,66
190,29,197,42
186,187,197,209
183,161,198,183
182,30,198,55
171,214,181,236
165,229,173,243
154,37,165,60
153,2,183,20
152,16,159,27
148,230,164,247
142,85,151,96
139,112,160,133
134,180,146,189
134,78,145,108
128,230,146,250
128,109,135,129
119,51,136,73
116,9,131,27
111,124,121,134
108,26,116,34
105,35,119,46
103,158,116,174
100,149,108,156
90,128,98,136
89,195,102,212
87,51,99,63
86,227,93,237
85,162,94,172
82,13,100,32
79,102,91,122
78,190,86,199
76,1,94,12
68,157,84,173
65,174,86,192
56,229,63,238
55,138,71,152
42,39,53,50
39,186,55,201
18,217,32,230
7,75,26,87
6,1,10,8
3,223,13,233
1,100,17,121
