min_row,min_col,max_row,max_col
246,113,251,119
242,162,250,174
239,184,251,193
237,220,246,235
237,130,248,139
234,24,254,36
228,159,242,167
226,248,233,255
224,111,236,118
223,124,234,143
220,49,235,61
216,133,223,146
210,207,228,218
209,130,215,137
208,104,216,112
206,149,222,166
200,134,206,141
198,175,229,193
192,120,196,123
192,97,201,103
185,7,195,17
183,18,192,27
176,109,211,123
174,117,180,123
172,217,191,232
169,245,181,256
166,137,187,154
158,102,166,111
157,16,174,32
151,39,162,53
148,217,168,235
143,21,155,35
141,70,151,78
140,145,168,167
139,90,146,97
132,131,146,147
131,201,137,206
128,15,142,27
123,88,133,103
118,141,132,163
115,71,122,84
114,230,135,248
111,101,117,113
109,220,115,226
107,206,123,226
101,22,121,33
98,166,122,182
96,10,104,16
93,100,109,114
92,207,105,216
85,183,90,189
84,1,90,7
83,90,96,100
83,18,99,38
80,154,86,159
79,8,87,17
77,70,85,82
74,106,86,120
72,82,80,90
71,187,85,199
70,161,94,175
68,126,78,142
68,94,83,105
66,38,88,58
60,162,68,167
60,64,72,78
59,230,79,245
59,31,67,39
57,199,72,228
47,122,53,128
38,135,50,150
37,43,53,64
34,82,51,102
32,106,46,123
24,98,31,108
23,53,34,66
17,199,28,207
10,79,15,85
8,21,16,29
3,62,17,74
