min_row,min_col,max_row,max_col
250,96,255,103
247,194,255,205
240,223,255,236
232,104,242,121
230,132,239,144
227,46,236,57
225,213,234,224
219,199,231,213
215,58,238,77
213,131,231,150
211,19,235,32
206,209,222,225
195,141,200,147
191,64,198,71
187,87,200,99
186,145,197,156
183,192,193,201
167,234,183,246
162,16,180,34
158,95,171,107
145,56,161,72
143,177,156,189
141,212,149,222
139,19,156,34
138,11,142,19
135,2,140,8
134,222,148,243
133,141,147,155
130,16,138,25
124,234,133,242
122,88,133,102
120,170,137,189
115,221,124,228
114,118,125,129
108,10,121,33
104,200,116,213
101,147,120,162
94,121,104,131
93,187,105,204
80,178,85,185
70,120,92,135
65,185,83,210
64,210,76,216
62,22,84,41
61,170,73,180
61,138,82,161
56,128,66,149
53,192,60,200
40,228,49,236
37,34,55,46
29,239,42,253
20,175,34,197
13,154,35,170
2,217,7,226
