min_row,min_col,max_row,max_col
234,14,254,30
226,34,245,54
219,62,239,75
202,202,216,223
202,35,223,56
197,95,212,114
196,1,214,15
195,17,216,35
194,171,221,199
194,19,201,24
188,130,208,147
183,88,195,99
176,47,207,66
164,215,174,225
155,1,163,7
144,56,165,69
143,132,166,150
143,105,151,114
139,61,144,65
137,150,148,156
135,86,165,99
134,1,144,6
130,214,143,223
129,203,139,211
118,4,124,10
117,108,136,122
113,244,123,254
112,208,128,230
108,55,128,71
105,102,115,115
101,71,115,89
90,185,110,207
86,73,99,84
83,6,96,23
69,122,86,133
65,71,81,89
64,137,86,152
61,4,68,11
53,170,71,188
50,56,69,72
40,206,55,230
36,96,60,108
23,197,33,208
18,2,36,26
13,16,21,25
7,29,20,40
2,155,16,169
1,180,16,192
1,54,8,64
