min_row,min_col,max_row,max_col
248,106,255,112
237,52,248,66
233,195,243,205
230,18,246,29
227,99,240,112
226,114,234,121
221,67,247,98
219,4,228,13
218,147,236,169
212,188,223,201
208,58,219,70
206,8,224,25
204,112,219,133
197,161,219,184
195,92,216,106
193,226,211,241
190,120,200,127
187,193,202,210
187,19,193,28
186,76,194,83
182,246,189,254
170,79,181,93
166,43,174,53
158,80,163,87
155,124,174,139
153,229,176,250
152,151,159,160
151,162,160,175
147,99,153,107
139,135,154,155
132,68,155,96
126,178,144,203
119,32,137,53
116,199,130,218
114,135,122,151
113,155,135,168
105,66,117,80
99,1,110,12
95,236,110,247
94,76,106,87
87,55,95,61
81,1,90,9
76,18,96,34
74,182,92,213
69,232,90,249
69,160,76,168
60,220,67,230
59,138,75,155
58,106,74,122
56,118,72,136
53,188,68,202
50,2,58,15
49,169,62,184
48,100,56,108
43,228,50,240
43,213,52,224
38,9,45,16
36,168,43,177
35,2,45,8
23,235,41,255
20,211,34,224
20,126,34,148
17,16,31,28
11,243,22,255
8,64,29,82
5,152,23,169
5,108,25,122
