min_row,min_col,max_row,max_col
233,30,244,38
232,182,251,200
232,38,247,58
228,219,244,238
227,138,240,151
221,194,234,203
219,54,233,71
203,185,222,206
200,148,213,163
185,46,199,53
156,115,164,124
153,195,166,214
145,50,152,58
143,141,162,154
143,110,150,117
123,229,132,238
121,247,128,255
121,133,131,146
116,221,124,228
116,63,129,81
114,148,134,167
113,19,132,35
111,107,130,123
107,245,118,255
105,150,114,161
102,200,118,217
87,124,107,148
57,1,66,11
51,77,74,97
43,159,54,171
39,34,53,47
34,88,46,103
25,46,43,60
15,32,35,48
10,210,19,221
5,228,28,245
