min_row,min_col,max_row,max_col
248,24,255,34
245,118,251,127
245,39,251,44
238,127,252,142
232,19,245,37
222,109,228,118
221,152,226,159
221,141,243,154
213,154,219,159
208,213,225,230
206,88,210,92
198,35,214,70
185,139,201,157
174,82,181,87
164,68,176,80
152,218,164,240
142,178,156,194
138,156,153,171
137,249,141,255
130,238,141,244
119,31,126,39
118,233,129,242
118,1,129,11
113,115,128,132
113,54,124,65
111,67,119,73
105,132,113,139
98,193,104,202
98,144,115,160
98,2,113,28
89,68,101,75
89,27,99,37
83,222,104,234
80,219,86,225
76,203,99,216
70,45,76,51
66,52,73,62
64,221,68,225
64,153,82,169
63,71,85,88
61,176,82,198
60,169,66,175
59,208,70,213
54,216,63,224
46,18,64,36
45,129,58,146
42,231,71,243
39,90,56,107
35,207,57,218
35,18,43,26
33,143,55,161
24,204,32,212
13,178,32,192
4,156,22,170
1,102,5,107
