min_row,min_col,max_row,max_col
244,155,254,166
230,69,254,82
226,32,231,39
221,112,231,123
218,50,236,67
216,205,234,229
215,8,232,25
212,224,223,243
199,30,205,36
183,188,195,200
181,35,199,55
178,4,183,11
167,179,185,193
167,158,186,178
159,222,177,238
158,1,176,9
152,11,165,34
142,215,156,236
137,135,155,165
137,23,151,34
117,154,134,175
116,63,156,95
94,243,113,255
92,177,109,188
76,205,84,212
73,174,80,181
68,243,76,254
61,174,72,186
56,123,70,141
54,240,60,248
52,188,74,206
45,47,70,61
36,201,51,210
34,108,48,119
10,49,40,66
9,222,24,244
1,243,5,247
1,216,8,225
1,205,6,215
