min_row,min_col,max_row,max_col
248,44,255,51
241,45,249,57
240,226,248,231
239,180,247,189
238,237,248,251
235,103,252,128
231,159,250,176
226,228,238,237
222,87,238,105
216,228,223,232
201,205,224,231
200,174,217,197
191,182,197,187
189,211,202,221
187,191,194,198
184,238,193,252
182,154,198,175
181,203,190,213
178,194,184,204
176,171,183,180
176,138,187,149
174,105,195,119
165,243,181,255
150,210,166,228
143,142,155,164
141,164,157,175
140,201,154,216
134,140,141,148
124,44,158,69
122,185,136,202
118,244,137,256
108,157,123,176
93,99,110,111
81,6,93,28
69,202,82,217
64,26,83,42
62,212,72,223
55,7,78,24
49,2,57,17
38,144,54,158
37,21,53,38
33,191,48,211
32,40,51,61
23,92,45,109
12,169,21,177
5,231,24,250
4,153,13,165
4,68,16,87
3,32,9,38
