min_row,min_col,max_row,max_col
242,101,250,112
241,216,254,240
222,33,235,57
221,59,230,69
213,174,232,195
210,135,218,145
208,165,215,173
188,148,210,161
179,182,187,191
178,193,189,202
177,215,194,231
176,42,190,64
163,200,172,206
158,181,174,199
130,250,136,255
109,228,120,236
109,42,124,58
106,147,122,167
102,122,114,133
90,102,105,121
73,1,76,4
56,75,68,88
54,29,62,40
48,202,58,213
43,244,49,255
43,96,60,110
43,11,66,29
40,160,53,174
36,147,45,156
34,94,43,109
34,25,42,30
30,7,39,16
26,246,34,255
21,124,38,150
18,241,27,255
17,152,30,162
11,32,21,43
10,18,17,29
6,114,22,129
6,42,17,57
5,1,16,12
3,77,11,89
1,203,9,213
