min_row,min_col,max_row,max_col
245,50,255,61
239,198,253,210
239,110,254,128
232,42,243,52
226,132,249,146
220,158,237,196
209,49,232,68
200,123,217,148
191,66,207,86
183,184,203,199
179,38,194,57
167,198,177,205
155,205,160,212
154,207,174,226
148,227,157,238
145,56,160,73
129,190,152,204
128,140,143,153
124,119,147,131
111,98,125,120
108,127,129,142
80,236,94,249
79,109,99,124
59,209,79,224
42,8,59,30
36,58,53,77
34,135,46,146
24,108,57,130
17,148,26,162
15,52,32,69
13,27,39,43
12,89,20,97
4,244,19,252
3,160,17,179
1,100,8,109
