min_row,min_col,max_row,max_col
246,37,252,43
235,85,251,101
232,227,239,235
232,1,251,19
223,47,238,70
213,74,229,89
189,42,207,55
169,38,176,44
164,198,176,210
164,65,168,70
156,123,172,134
149,112,159,125
148,41,175,64
137,196,147,203
137,61,151,71
133,80,147,103
132,45,144,61
125,230,132,245
125,7,139,21
124,246,129,253
118,43,128,52
116,229,122,234
113,193,124,209
103,216,114,225
101,245,113,253
99,104,114,120
86,6,104,14
80,190,98,211
77,230,98,251
75,9,80,13
70,185,82,194
69,35,82,44
65,177,71,184
65,139,96,150
61,162,69,176
54,5,67,12
40,224,55,239
25,188,34,197
23,163,29,172
11,59,21,78
1,244,10,255
