min_row,min_col,max_row,max_col
247,154,255,160
242,243,252,255
242,22,251,29
230,142,242,150
219,151,243,166
211,100,229,125
208,204,239,224
206,153,216,166
204,41,210,52
203,83,221,100
200,173,212,190
199,140,211,152
186,154,205,166
186,104,204,122
182,15,203,38
179,118,191,130
168,7,180,16
165,117,177,131
162,144,179,159
149,173,170,188
146,76,162,91
139,6,146,13
130,72,145,80
118,155,130,164
117,6,128,21
103,114,119,128
101,13,111,23
96,63,110,80
90,31,102,51
85,46,93,55
77,58,89,68
75,46,83,57
64,31,78,41
40,79,48,91
15,56,37,73
1,16,20,36
