min_row,min_col,max_row,max_col
243,124,255,133
231,122,244,131
229,46,246,61
212,156,230,173
209,181,217,194
200,216,213,225
196,116,213,128
196,29,205,39
192,130,208,149
189,181,208,192
183,40,199,58
179,205,184,209
171,168,191,194
168,25,182,44
166,196,183,223
164,76,179,98
163,228,182,249
147,175,166,203
142,162,148,169
138,230,155,245
124,50,145,65
118,33,135,47
116,154,123,163
115,164,136,184
106,204,123,215
94,122,111,139
90,150,110,176
81,175,96,197
73,146,81,156
70,226,89,245
70,103,86,125
69,181,79,190
67,134,76,144
54,61,67,81
53,81,62,100
46,21,80,38
34,65,52,88
33,118,49,137
28,1,33,5
25,173,35,185
1,140,12,153
